	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
chilomycterus	0	12436.34413	0	0	0	0	0	0	0	404.1657814	0	0	0	0	0	0	0	0	236.5725949	0	0	0	859.6896473	0
chloroscombrus	0	0	0	0	0	0	0	0	1734.410178	0	0	0	0	0	0	0	0	0	0	0	15.06974936	0	0	0
chromis	0	30988.0871	292.4502227	1957.367566	567.9187696	15.59777281	28632.4728	1689.321155	0	8050.388031	360.7609557	13679.90014	12870.28683	44.02521794	10676.95794	4157.892483	49.04668508	22203.53473	1458.25412	1694.104054	1984.145185	4538.682058	63886.37818	37094.5784
clepticus	0	639.6531311	7468.055806	0	0	115.5854755	13819.44775	0	0	493.4358403	0	282.1517609	161.0065153	468.7188711	5544.228448	0	0	38758.87369	0	0	24546.51512	188.5782136	175.9014173	0
coryphopterus	87.87825956	1482.577765	0.922776875	120.9674445	263.6145523	380.3495612	8521.487312	39.6593548	0	65.13631629	1134.723067	1185.090868	9.305188041	7.118374107	100.4966581	434.6941605	4.870447081	49.67538881	0	8913.644221	2867.161065	4287.953331	0	102.3570685
cosmocampus	0	2.982950006	0	0	0	0	0	0	0	0	1.391674289	0	0	0	0	0	0	0	0	0	0	0	0	0
cryptotomus	24.72333123	1274.832788	0	0	0	0	0	0	0	123.0880199	73.08675732	153.8560835	51.92938115	160.8222019	0	0	12.14054142	39.59373814	0	0	0	478.0622956	0	0
ctenogobius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.946227944	0	0
dactylopterus	0	6281.452025	0	0	0	0	96.15276208	0	0	253.8475788	107.4707747	107.4707747	214.9415495	0	0	0	0	0	22.56258351	0	0	102.9464158	302.7359217	107.4707747
dasyatis	0	0	0	0	0	0	0	0	0	0	133.5397183	0	0	0	0	2578.515659	0	0	0	0	0	3806.004016	0	0
decapterus	0	70.22286119	96.10972377	0	0	0	0	0	0	0	0	608.684017	0	0	0	0	74249.8292	13213.65859	0	0	4425.07062	1413.014287	0	0
dermatolepis	0	0	0	0	0	0	0	0	0	209.8594005	0	0	0	69.21896708	0	0	0	0	0	836.8514282	0	0	0	3.569351818
diapterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646.6462268	0	0
diodon	0	6242.525574	10.96858371	856.1819381	0	0	366.1715037	0	0	588.7801499	0	366.1715037	0	0	2551.339321	162.3900528	0	1156.171174	0	738.4486631	0	738.4486631	0	8705.466301
diplectrum	0	0	0	0	0	0	0	0	0	39.07126243	52.52139667	705.3861924	0	0	0	0	34.23238924	1.35233266	0	0	164.3258533	1110.94062	0	0
diplodus	0	31639.93301	0	0	0	0	0	0	3266.226521	27253.34748	8053.119112	20777.49148	22765.15046	0	0	0	7735.998276	0	1708.782604	0	0	143767.3753	0	10290.71383
doratonotus	0.970107575	0	0	0	0	0	0	0	0	2.910322724	0	0	0	0	0	3.880430298	0	0	0	0	0	0	0	0
dules	0	728.8245665	0	0	0	0	0	0	0	0	0	0	22.60758893	0	0	0	0	0	0	0	0	202.6301746	0	0
echidna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.03667077	0	0	0	0	0	0	0	472.4715249
elacatinus	47.2624749	431.2700834	2.978875056	46.08091302	4.917290506	0	49.45785069	1.388165874	0	38.99154179	106.3405685	650.0955252	21.2681137	0	13.04104128	50.40866483	0.694082937	6.114413364	14.17874247	1.181561872	382.7081851	0	0	172.0256248
