	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
2_h2_2_3	0	0	0	0	0	0	1.420390536	0	0	0	0	0	0	0	0	0	78.16576199	0	0	0	0	0	0	0
2_h2_3_3	24.72333123	1274.832788	0	0	0	0	0	0	0	123.0880199	73.08675732	153.8560835	51.92938115	160.8222019	0	0	12.14054142	39.59373814	0	0	0	478.0622956	0	0
2_p_2_1	0	54.16504144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_z_1_1	0	0	0.666842001	125.3389877	0	0	0	0	0	309.0020089	0	0	0	10.93003839	0	0	21.33385383	10.69499535	0	0	0	2.214289647	0	14.3928827
2_z_1_2	0	0	0	0	0	0	0	0	13.43486995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2_z_1_3	0	132.7818135	0	0	0	0	0	0	9.804921839	0	3.431830965	0	1.715915483	0	0	0	0	0	0	8.579577413	3.431830965	3.431830965	1.715915483	30.33137676
2_z_1_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.71283126	0	0	0	0	0	0	0
2_z_2_1	0	2.399657355	0	0	0	0	0	0	0	1.199828678	0	0	3.599486033	0	0	0	0	0	0	0	0	3.599486033	0	0
2_z_2_4	0	329.9662435	0	0	0	0	0	0	0	20.79792089	5.999143388	424.3858815	427.5398426	0	0	0	0	0	0	0	0	29.99571694	0	0
2_z_2_5	0	566.6682475	0	0	0	0	960.9222647	199.4022263	0	161.7394356	1367.100272	4614.760933	605.3414124	0	0	434.3081235	0	2310.453874	0	1346.492523	900.0950086	135.303289	0	0
2_z_3_4	0	76.73793548	689.7112672	408.7841151	0	45.37496766	8340.039365	2959.714484	0	197.7109654	0	25.73499653	13.99481137	75.2297159	13830.84206	1990.194515	0	4165.337646	0	35955.17308	25.73499653	2.254626212	0	50803.62699
2_z_3_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.64877718	0	0
3_c1_1_1	4.093376977	899.1276116	0	202.3528646	3.659670116	0	0	0	294.4781465	772.3044466	199.0679702	331.7227937	60.66478414	0	39.80597338	0	213.1613795	3493.398278	6.822294961	0	44.99138607	2938.426725	0	0
3_c1_1_3	0	48.37738357	0	0	0	0	438.9928188	0	467.6199361	0	0	0	0	0	0	0	188.6200909	0	0	0	0	0	0	0
3_c1_2_1	0	2868.446858	85.63230146	64.27053549	0	22.2392557	1212.284074	0	0	1041.022735	971.5383401	1889.944667	608.6986712	0	102.4852091	0	0	1744.35329	0	0	8783.656176	13985.06557	0	1304.192929
3_c1_2_3	0	0	0	0	0	0	0	0	0	39.07126243	52.52139667	705.3861924	0	0	0	0	34.23238924	1.35233266	0	0	164.3258533	1110.94062	0	0
3_c1_3_1	6251.640256	29957.67395	167.8305763	2702.440725	5157.017765	0	723.8435236	276.3606296	10820.95601	13847.40112	1569.440135	36803.92044	5516.494946	4824.827228	267.3516252	1053.861744	2852.341643	8625.196392	488.5911086	0	490.1131994	5080.655405	0	93240.5228
3_c1_3_3	1834.10371	11646.07767	297.5609693	470.8756243	988.2153001	0	105.4137875	382.479733	91.20509588	4066.946792	1145.361179	3028.842105	673.853127	263.2677021	5613.233492	4639.892922	269.2999671	2376.335436	40.72795336	166.9986305	2169.690159	7833.710648	0	23527.11254
3_c1_3_4	0	0	0	5218.083242	0	0	0	0	2610.832439	0	0	0	0	0	0	0	145.5066896	32376.27216	0	0	0	0	0	0
